state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,11,0
Andhra Pradesh,1183,235,31
Arunachal Pradesh,1,1,0
Assam,36,27,1
Bihar,345,57,2
Chandigarh,40,17,0
Chhattisgarh,37,32,0
Delhi,3108,877,54
Goa,7,7,0
Gujarat,3548,394,162
Haryana,296,183,3
Himachal Pradesh,40,22,1
Jammu and Kashmir,546,164,7
Jharkhand,82,13,3
Karnataka,512,193,20
Kerala,481,355,4
Ladakh,20,14,0
Madhya Pradesh,2168,302,110
Maharashtra,8590,1282,369
Manipur,2,2,0
Meghalaya,12,0,1
Mizoram,1,0,0
Odisha,118,37,1
Puducherry,8,3,0
Punjab,313,71,18
Rajasthan,2262,669,46
Tamil Nadu,1937,1101,24
Telengana,1004,321,26
Tripura,2,2,0
Uttarakhand,51,33,0
Uttar Pradesh,1955,335,31
